schema_name,table_name,row_count,column_count,outbound_fk_count,inbound_fk_count,create_date,modify_date,table_description
dbo,Markdown_Model_Pricing_Detail,13,4,0,0,2019-09-16 14:49:02.337000,2019-09-16 14:49:02.337000,
dbo,Markdown_Model_Product_Detail,8,3,0,0,2019-09-16 14:46:56.517000,2019-09-16 14:46:56.517000,
dbo,Monthly_On_Order,519,10,0,0,2019-09-09 12:37:32.863000,2019-09-09 12:42:34.640000,
dbo,No_Size_Exception_Offers,194,1,0,0,2019-12-18 15:36:10.330000,2019-12-18 15:37:16.913000,
dbo,Offer_Control_Table,41531,59,0,0,2019-09-18 07:50:27.370000,2022-08-04 08:56:23.637000,
dbo,offer_control_table_backup,19914,57,0,0,2022-03-22 12:05:23.350000,2022-03-22 12:05:23.350000,
dbo,offer_control_table_backup_12142019,11460,51,0,0,2019-12-14 04:47:35.310000,2019-12-14 04:47:35.310000,
dbo,Offer_Inventory_Forecast,5163971,14,0,0,2019-12-09 06:02:23.997000,2019-12-18 04:10:12.030000,
dbo,Offer_Inventory_Forecast_backup_20250324,4209435,14,0,0,2025-03-24 15:45:15.200000,2025-03-24 15:45:15.200000,
dbo,Offer_Inventory_Forecast_Frozen,4121706,13,0,0,2019-10-25 12:36:25.650000,2026-03-28 09:39:35.943000,
dbo,Offer_Inventory_Forecast_Working,158,12,0,0,2019-12-10 09:58:41.297000,2019-12-10 09:58:47.343000,
dbo,offer_rounded_forecast_staging,8,13,0,0,2019-09-24 18:28:48.793000,2019-09-24 18:28:48.793000,
dbo,Offer_SKU_Inventory_Forecast,4186131,15,0,0,2019-12-09 06:07:10.200000,2026-06-16 22:32:03.180000,
dbo,Offer_SKU_Inventory_Forecast_backup,3642216,15,0,0,2025-03-24 15:47:26.893000,2025-03-24 15:47:26.893000,
dbo,Offer_SKU_Inventory_Forecast_Working,1264,15,0,0,2019-12-10 09:38:58.080000,2019-12-10 09:38:58.663000,
dbo,OfferID_to_reset_planned_receipts,1583,2,0,0,2019-11-06 09:15:19.730000,2019-11-06 09:15:19.730000,
dbo,offerid_to_reset_planned_receipts_backup,1583,2,0,0,2019-11-06 09:20:04.073000,2019-11-06 09:20:04.073000,
dbo,OfferID_Xref_Control,0,2,0,0,2019-10-04 11:48:35.450000,2019-10-04 11:48:35.533000,
dbo,Offers,93435,21,0,0,2019-09-28 04:19:04.997000,2022-05-26 10:07:02.140000,
dbo,Offers_Backup,93435,21,0,0,2020-06-05 13:42:15.760000,2020-06-05 13:42:15.760000,
dbo,On_Order,23413,11,0,0,2019-12-09 05:48:24.110000,2019-12-09 05:48:25.037000,
dbo,on_order_backup,29262,10,0,0,2019-10-04 15:06:03.657000,2019-10-04 15:06:03.657000,
dbo,OTB_Month_Plans,85,25,0,0,2019-07-31 13:31:59.797000,2019-07-31 13:31:59.867000,
dbo,OTB_Plan_Parameters,4,80,0,0,2019-07-31 07:15:50.840000,2019-07-31 07:15:50.923000,
dbo,PFS_System_Parameters,1,1,0,0,2019-08-15 08:03:15.930000,2019-08-15 08:03:16.177000,
dbo,Product_Dimensions_Hierarchy_Attributes,477206,45,0,0,2026-06-17 11:50:37.640000,2026-06-17 11:50:37.817000,
dbo,Promo_Model_Detail,12696,3,0,0,2019-08-19 08:28:35.930000,2026-03-29 10:45:07.440000,
dbo,Promo_Model_Headers,4060,12,0,0,2019-08-19 08:26:47.927000,2026-03-29 10:44:38.427000,
dbo,Promo_Model_Headers_Additional_Waves,38,10,0,0,2026-05-29 14:07:49.360000,2026-05-29 14:07:49.840000,
dbo,Promo_Rank_Calculations,856700,17,0,0,2022-03-21 15:35:00.597000,2022-03-21 15:35:05.490000,
dbo,Receipt_History,1149,8,0,0,2019-07-31 15:11:18.177000,2019-07-31 15:11:18.177000,
dbo,Receipt_History_Backup,4068,8,0,0,2019-10-16 15:38:14.573000,2019-10-16 15:38:14.573000,
dbo,Receipt_History_Sept2019,3679,8,0,0,2019-10-16 15:53:18.517000,2019-10-16 15:53:18.517000,
dbo,SalesDatabyMonth,6544,9,0,0,2019-07-31 07:16:17.230000,2019-07-31 07:16:17.323000,
dbo,Seasonal_Profile_Index_Library,169100,3,0,0,2019-07-25 12:37:19.947000,2019-07-25 12:37:19.967000,
dbo,Seasonal_Profile_Library,3194,12,0,0,2019-09-18 11:00:37.993000,2019-09-18 11:00:38.083000,
dbo,Seasonal_Profile_Sales,23844,61,0,0,2019-09-20 07:40:26.823000,2019-09-20 08:32:33.747000,
dbo,Seasonal_Profile_Sales_old,30234,59,0,0,2019-09-18 10:18:31.810000,2019-09-20 08:32:21.623000,
dbo,Size_Distribution_Library,36770,17,0,0,2020-03-17 06:01:30.873000,2020-03-17 06:01:31.760000,
dbo,Size_Distribution_Library_Backup_20200317,26786,15,0,0,2020-03-17 05:59:34.897000,2020-03-17 05:59:34.897000,
dbo,Size_Distribution_Sales,55671,10,0,0,2019-09-19 08:25:57.443000,2019-09-19 10:59:03.853000,
dbo,Size_Distribution_Sales_old,5244,8,0,0,2019-09-18 12:29:58.913000,2019-09-19 10:58:51.220000,
dbo,Size_Range_Groups,4918,5,0,0,2019-07-25 11:24:50.653000,2019-07-25 11:24:50.747000,
dbo,sku_hist,3675846,7,0,0,2020-05-01 11:28:13.113000,2020-05-01 11:28:13.113000,
dbo,Sku_Store_Allocation_Control,0,12,0,0,2019-08-14 14:51:14.817000,2019-08-16 13:43:41.510000,
dbo,SKU_Store_Demand_History,0,19,0,0,2019-08-20 12:31:42.900000,2019-08-20 12:31:42.980000,
dbo,Store_Distribution_LIbrary,224117,10,0,0,2019-09-19 06:01:18.103000,2019-09-19 06:01:18.243000,
dbo,Store_Distribution_Sales,6997430,6,0,0,2019-09-19 05:56:48.037000,2019-09-19 05:56:53.837000,
dbo,Store_Master_Control,71,9,0,0,2019-08-21 07:22:02.527000,2019-08-21 07:51:48.853000,
dbo,Store_Master_Groups_Control,329,2,0,0,2019-08-21 07:23:54.560000,2019-08-21 07:23:54.577000,
